FishCode,FishDesc,Consigned,Sold,LowPrice,AvgPrice,HighPrice,MonthNum,YearNum,FishGroup
POWX,Redfish | mixed,27115.0,27104,0.0,0.73,1.95,9,2013,Redfish
FADM,"Halibut, Atlantic | 50-85",122.0,72,0.0,7.71,7.71,9,2013,Halibut
PADL,"Pollock, Atl | large",108130.0,106930,1.13,1.87,3.04,9,2013,Pollock
CADM,Cod | market,21242.0,19639,1.51,2.39,4.62,10,2013,Cod
CADS,Cod | scrod,601.0,447,0.0,1.71,2.04,10,2013,Cod
HWSS,"Hake, white | small",2237.0,1685,0.0,0.74,1.5,10,2013,Hake
HDDL,Haddock | large,1934.0,1930,0.0,2.33,4.62,10,2013,Haddock
HWSJ,"Hake, white | sow",7496.0,7196,1.4,2.11,3.77,10,2013,Hake
HWSL,"Hake, white | large",55154.0,55154,1.11,1.6,2.79,10,2013,Hake
PADS,"Pollock, Atl | small",26253.0,26227,0.65,1.0,1.74,10,2013,Pollock
FADS,"Halibut, Atlantic | 10-50",185.0,185,8.76,9.2,9.56,10,2013,Halibut
HWSM,"Hake, white | medium",9075.0,8756,0.0,1.26,1.88,10,2013,Hake
PADM,"Pollock, Atl | medium",71612.0,71509,0.69,1.3,2.13,10,2013,Pollock
CADL,Cod | large,3358.0,3131,1.91,3.31,5.02,10,2013,Cod
FADL,"Halibut, Atlantic | 85-125",330.0,330,6.81,7.31,7.61,10,2013,Halibut
HDDS,Haddock | scrod,4824.0,4796,0.0,1.64,2.09,10,2013,Haddock
POWX,Redfish | mixed,19480.0,19480,0.42,0.71,1.56,10,2013,Redfish
FYWX,Yellowtail | mixed,3.0,3,1.01,1.01,1.01,10,2013,Yellowtail
PADL,"Pollock, Atl | large",105168.0,104801,0.78,1.52,2.32,10,2013,Pollock
FADM,"Halibut, Atlantic | 50-85",321.0,321,7.81,8.39,9.26,10,2013,Halibut
CADS,Cod | scrod,197.0,153,0.0,1.75,2.03,11,2013,Cod
FADS,"Halibut, Atlantic | 10-50",87.0,87,8.91,9.64,10.81,11,2013,Halibut
HDDL,Haddock | large,491.0,487,0.0,2.51,4.37,11,2013,Haddock
PADM,"Pollock, Atl | medium",78608.0,78608,0.89,1.27,4.07,11,2013,Pollock
CADL,Cod | large,1608.0,1608,3.1,4.35,5.57,11,2013,Cod
HDDS,Haddock | scrod,860.0,859,0.0,1.87,2.33,11,2013,Haddock
HWSL,"Hake, white | large",18554.0,18554,1.09,1.99,2.77,11,2013,Hake
HWSJ,"Hake, white | sow",2323.0,2323,1.5,2.9,4.72,11,2013,Hake
CADM,Cod | market,12301.0,12255,1.83,2.61,5.52,11,2013,Cod
PADL,"Pollock, Atl | large",99414.0,99414,0.9,1.56,3.18,11,2013,Pollock
FADM,"Halibut, Atlantic | 50-85",59.0,59,10.76,10.76,10.76,11,2013,Halibut
POWX,Redfish | mixed,6600.0,6600,0.54,0.84,1.4,11,2013,Redfish
HWSS,"Hake, white | small",1348.0,1292,0.0,0.88,1.37,11,2013,Hake
HWSM,"Hake, white | medium",4858.0,4855,0.0,1.4,1.91,11,2013,Hake
PADS,"Pollock, Atl | small",25134.0,24834,0.63,1.05,3.57,11,2013,Pollock
HWSL,"Hake, white | large",15831.0,15831,1.44,2.16,5.57,12,2013,Hake
PADL,"Pollock, Atl | large",161456.0,153542,0.67,1.12,2.27,12,2013,Pollock
POWX,Redfish | mixed,9854.0,6068,0.0,0.8,1.66,12,2013,Redfish
CADL,Cod | large,3780.0,3739,2.6,4.23,5.61,12,2013,Cod
CADM,Cod | market,26858.0,26611,1.73,2.65,4.67,12,2013,Cod
HDDS,Haddock | scrod,7117.0,7117,1.07,2.44,3.02,12,2013,Haddock
